"","mass","int","logint"
"627",389.296966552734,2639.74755859375,7.87843856982352
"628",390.454345703125,2116.06372070312,7.65731290627862
"629",390.51025390625,3946.58203125,8.28060517475532
"630",390.725006103516,2812.98364257812,7.94200099353449
"631",390.946441650391,1947.72985839844,7.57441979819918
"632",391.620880126953,2871.77807617188,7.96268665565462
"633",391.843719482422,2497.40893554688,7.82300904761445
"634",392.059417724609,3074.06762695312,8.03075692351599
"635",407.339202880859,2569.42138671875,7.85143601118657
"636",413.266174316406,21058.609375,9.95506475193134
"637",414.269866943359,3925.17822265625,8.27516703623182
"638",418.971099853516,2019.15258789062,7.61043319143068
"639",422.183807373047,1846.71557617188,7.52116397601412
"640",429.240936279297,2447.11840820312,7.80266645140278
"641",431.5361328125,1811.75146484375,7.50204931651328
"642",436.341918945312,20007.4609375,9.90386052984644
"643",436.663879394531,1916.05798339844,7.55802522080695
"644",437.344818115234,6858.13134765625,8.83319028531194
"645",448.99658203125,4274.91552734375,8.36051962148996
"646",455.040740966797,1784.17004394531,7.48670862471051
"647",472.985992431641,2708.47290039062,7.904140249654
"648",480.621795654297,1722.015625,7.45125075869796
"649",485.964538574219,1903.79675292969,7.55160546224252
"650",489.668426513672,2265.14282226562,7.72539309211709
"651",496.908508300781,1888.53601074219,7.54355721040714
"652",521.883239746094,1840.64953613281,7.51787379707793
"653",538.153442382812,2260.10717773438,7.72316751491813
"654",548.244750976562,2763.4501953125,7.92423524878868
"655",577.636352539062,1977.79748535156,7.58973912339791
"656",585.138610839844,1890.5595703125,7.54462813318234
"657",639.783203125,2269.03491210938,7.72710987122356
"658",645.720947265625,2001.46020507812,7.60163229568594
"659",646.555480957031,3350.83569335938,8.11696505441325
"660",652.454895019531,2788.67138671875,7.93332055591642
"661",719.715148925781,2054.64282226562,7.6278573027073
"662",734.882751464844,2051.02099609375,7.62609299502327
"663",789.468322753906,1987.07727050781,7.59442012982177
"664",792.15576171875,1733.82055664062,7.4580826667725
"665",804.850219726562,3146.83471679688,8.05415237480712
"666",807.263427734375,2212.740234375,7.70198695149612
"667",825.742553710938,2006.53063964844,7.60416245978646
"668",907.496276855469,1931.447265625,7.56602487944266
"669",974.655944824219,14499.951171875,9.5819005609461
"670",974.713928222656,2327.19799804688,7.75242024693951
"671",980.250366210938,2127.05151367188,7.66249203384061
"672",1009.86480712891,1865.89904785156,7.53149827911397
"673",1010.14294433594,1970.7861328125,7.58618779432097
"674",1010.23864746094,4979.6875,8.51312241704576
"675",1026.32580566406,1795.11218261719,7.49282279624928
"676",1036.26293945312,1998.59497070312,7.6001996980146
"677",1046.61840820312,2486.03979492188,7.81844627955391
"678",1065.72497558594,3160.35986328125,8.05844118088224
"679",1065.78771972656,2331.705078125,7.75435507211637
"680",1085.7822265625,2049.29663085938,7.62525190635995
